출하일자,주문Code1,Sku Code,상품명,박스당PCS,총수량,가로(mm),세로(mm),높이(mm),오더번호,pcs출하,B2C구분,단위부피,수량의 부피,1박스이상되는 주문_표시,index,박스번호,Rank
2023.03.07,B2C(택배),W00601,艾多美 洗髮乳 1瓶,8,1,143,96,132,723030604221,1,B2C,1.812096,1.812096,,97,,B
2023.03.07,B2C(택배),W90943,艾多美 美妍膠原飲,12,1,13,7,10,723030604371,1,B2C,0.00091,0.00091,,98,,A
2023.03.07,B2C(택배),W00691,艾多美 頭皮舒爽洗髮露,6,1,72,72,195,723030604409,1,B2C,1.01088,1.01088,,100,,A
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,1,310,110,212,723030604409,1,B2C,7.2292,7.2292,,101,,B
2023.03.07,B2C(택배),W00531,艾多美 愛丹 1瓶,54,1,143,96,132,723030604409,1,B2C,1.812096,1.812096,,102,,B
2023.03.07,B2C(택배),W00301,艾多美 洗面乳 1瓶,40,1,143,96,132,723030604409,1,B2C,1.812096,1.812096,,104,,B
2023.03.07,B2C(택배),W00160,艾多美 益生菌 60包入,24,2,110,65,110,723030604409,2,B2C,0.7865,1.573,,107,,A
2023.03.07,B2C(택배),W00631,艾多美 沐浴乳 1瓶,8,1,143,96,132,723030604676,1,B2C,1.812096,1.812096,,108,,A
2023.03.07,B2C(택배),W00601,艾多美 洗髮乳 1瓶,8,1,143,96,132,723030604676,1,B2C,1.812096,1.812096,,109,,B
2023.03.07,B2C(택배),W90906,艾多美 香烤海苔(大片裝),40,1,320,240,40,723030604676,1,B2C,3.072,3.072,,110,,B
2023.03.07,B2C(택배),W90174,艾多美 洋薊膠囊,50,2,105,65,100,723030604676,2,B2C,0.6825,1.365,,111,,A
2023.03.07,B2C(택배),W00190,艾多美 經典化妝水,54,1,53,54,179,723030604738,1,B2C,0.512298,0.512298,,112,,B
2023.03.07,B2C(택배),W00196,艾多美 經典乳液,54,1,53,52,171,723030604738,1,B2C,0.471276,0.471276,,113,,B
2023.03.07,B2C(택배),W00531,艾多美 愛丹 1瓶,54,2,143,96,132,723030604738,2,B2C,1.812096,3.624192,,114,,B
2023.03.07,B2C(택배),W00111,艾多美 高濃度魚油膠囊,56,1,67,67,121,723030604804,1,B2C,0.543169,0.543169,,117,,B
2023.03.07,B2C(택배),W00465,艾多美 Daily專家面膜-保濕,30,3,125,40,163,723030604947,3,B2C,0.815,2.445,,119,,B
2023.03.07,B2C(택배),W00749,艾多美 魅力紳士保養組,14,1,210,170,50,723030604947,1,B2C,1.785,1.785,,120,,A
2023.03.07,B2C(택배),W92018,艾多美 長效防蚊液,48,1,4,4,17,723030604949,1,B2C,0.000272,0.000272,,122,,B
2023.03.07,B2C(택배),W90946,艾多美 苦瓜萃取複方膠囊,94,4,70,53,115,723030604949,4,B2C,0.42665,1.7066,,123,,B
2023.03.07,B2C(택배),W00601,艾多美 洗髮乳 1瓶,8,1,143,96,132,723030604951,1,B2C,1.812096,1.812096,,124,,B
2023.03.07,B2C(택배),W00301,艾多美 洗面乳 1瓶,40,1,143,96,132,723030604951,1,B2C,1.812096,1.812096,,125,,A
2023.03.07,B2C(택배),W00207,艾多美 凝萃煥膚六部曲,6,1,330,215,75,723030604951,1,B2C,5.32125,5.32125,,126,,A
2023.03.07,B2C(택배),W00160,艾多美 益生菌 60包入,24,2,110,65,110,723030604952,2,B2C,0.7865,1.573,,127,,B
2023.03.07,B2C(택배),W00173,艾多美 葉黃素膠囊,108,1,55,55,110,723030604952,1,B2C,0.33275,0.33275,,129,,B
2023.03.07,B2C(택배),W00517,艾多美 兒童牙刷,30,1,145,30,170,723030604956,1,B2C,0.7394999999999999,0.7394999999999999,,130,,A
2023.03.07,B2C(택배),W00591,艾多美 精油 貼布 1盒(11包*5片),20,2,225,165,60,723030604956,2,B2C,2.2275,4.455,,131,,A
2023.03.07,B2C(택배),W00531,艾多美 愛丹 1瓶,54,2,143,96,132,723030604960,2,B2C,1.812096,3.624192,,133,,B
2023.03.07,B2C(택배),W00501,艾多美 牙膏200g(5條)*1組,10,1,143,96,132,723030604961,1,B2C,1.812096,1.812096,,135,,A
2023.03.07,B2C(택배),W00631,艾多美 沐浴乳 1瓶,8,1,143,96,132,723030604961,1,B2C,1.812096,1.812096,,136,,B
2023.03.07,B2C(택배),W00591,艾多美 精油 貼布 1盒(11包*5片),20,1,225,165,60,723030604961,1,B2C,2.2275,2.2275,,137,,B
2023.03.07,B2C(택배),W00483,艾多美 月桂保濕噴霧,54,1,34,34,160,723030604963,1,B2C,0.18495999999999999,0.18495999999999999,,141,,A
2023.03.07,B2C(택배),W00861,艾多美 濃縮衣物洗潔液,6,1,192,132,312,723030604963,1,B2C,7.907328,7.907328,,142,,A
2023.03.07,B2C(택배),W00828,艾多美 濃縮洗衣粉,5,1,320,110,330,723030604963,1,B2C,11.616,11.616,,143,,A
2023.03.07,B2C(택배),W00601,艾多美 洗髮乳 1瓶,8,1,143,96,132,723030604963,1,B2C,1.812096,1.812096,,144,,B
2023.03.07,B2C(택배),W00501,艾多美 牙膏200g(5條)*1組,10,1,143,96,132,723030604964,1,B2C,1.812096,1.812096,,145,,B
2023.03.07,B2C(택배),W00801,艾多美 碗盤蔬果洗潔液,12,1,90,80,240,723030604964,1,B2C,1.728,1.728,,148,,A
2023.03.07,B2C(택배),W00982,艾多美 幸福堅果,4,1,335,110,205,723030604972,1,B2C,7.55425,7.55425,,150,,A
2023.03.07,B2C(택배),W00217,艾多美 凝萃煥膚 化妝水,42,1,55,55,187,723030604982,1,B2C,0.5656749999999999,0.5656749999999999,,151,,A
2023.03.07,B2C(택배),W00641,艾多美 身體乳液 1瓶,40,1,143,96,132,723030604982,1,B2C,1.812096,1.812096,,152,,B
2023.03.07,B2C(택배),W00631,艾多美 沐浴乳 1瓶,8,2,143,96,132,723030604982,2,B2C,1.812096,3.624192,,153,,A
2023.03.07,B2C(택배),W00301,艾多美 洗面乳 1瓶,40,1,143,96,132,723030604984,1,B2C,1.812096,1.812096,,154,,B
2023.03.07,B2C(택배),W00501,艾多美 牙膏200g(5條)*1組,10,2,143,96,132,723030604984,2,B2C,1.812096,3.624192,,155,,A
2023.03.07,B2C(택배),W00160,艾多美 益生菌 60包入,24,1,110,65,110,723030604988,1,B2C,0.7865,0.7865,,157,,B
2023.03.07,B2C(택배),W00121,艾多美 維他命C粉,20,1,111,90,136,723030604988,1,B2C,1.3586399999999998,1.3586399999999998,,158,,A
2023.03.07,B2C(택배),W00198,艾多美 經典營養霜,54,2,71,72,63,723030604989,2,B2C,0.322056,0.644112,,159,,A
2023.03.07,B2C(택배),W90908,艾多美 芝麻海苔酥,24,1,460,100,330,723030604989,1,B2C,15.18,15.18,,160,,B
2023.03.07,B2C(택배),W00321,艾多美 卸妝乳 1瓶,40,1,143,96,132,723030604994,1,B2C,1.812096,1.812096,,162,,B
2023.03.07,B2C(택배),W00501,艾多美 牙膏200g(5條)*1組,10,1,143,96,132,723030604994,1,B2C,1.812096,1.812096,,163,,B
2023.03.07,B2C(택배),W00511,艾多美 牙刷(小型刷頭) 1組 (8支),30,1,245,105,48,723030604994,1,B2C,1.2348,1.2348,,167,,B
2023.03.07,B2C(택배),W00975,艾多美 阿拉比卡即溶黑咖啡,9,3,190,130,95,723030604995,3,B2C,2.3465,7.039499999999999,,169,,B
2023.03.07,B2C(택배),W00301,艾多美 洗面乳 1瓶,40,1,143,96,132,723030604997,1,B2C,1.812096,1.812096,,170,,B
2023.03.07,B2C(택배),W00276,艾多美 凝萃煥膚防曬乳,70,1,48,23,138,723030604997,1,B2C,0.152352,0.152352,,171,,B
2023.03.07,B2C(택배),W00192,艾多美 經典眼霜,84,1,68,66,59,723030604997,1,B2C,0.26479199999999997,0.26479199999999997,,174,,B
2023.03.07,B2C(택배),W00196,艾多美 經典乳液,54,1,53,52,171,723030604997,1,B2C,0.471276,0.471276,,175,,B
2023.03.07,B2C(택배),W00517,艾多美 兒童牙刷,30,2,145,30,170,723030605000,2,B2C,0.7394999999999999,1.4789999999999999,,177,,B
2023.03.07,B2C(택배),W00501,艾多美 牙膏200g(5條)*1組,10,8,143,96,132,723030605000,8,B2C,1.812096,14.496768,,178,,A
2023.03.07,B2C(택배),W00667,艾多美 蛋白集中護髮液,45,1,49,48,200,723030605007,1,B2C,0.4704,0.4704,,179,,B
2023.03.07,B2C(택배),W00190,艾多美 經典化妝水,54,1,53,54,179,723030605007,1,B2C,0.512298,0.512298,,180,,A
2023.03.07,B2C(택배),W00311,艾多美 去角質凝膠 1瓶,60,2,143,96,132,723030605007,2,B2C,1.812096,3.624192,,181,,A
2023.03.07,B2C(택배),W00321,艾多美 卸妝乳 1瓶,40,2,143,96,132,723030605007,2,B2C,1.812096,3.624192,,182,,B
2023.03.07,B2C(택배),W00666,艾多美 蛋白修護洗髮乳,28,1,68,68,200,723030605010,1,B2C,0.9248,0.9248,,183,,B
2023.03.07,B2C(택배),W00257,艾多美 凝萃煥膚 眼霜,112,1,65,65,56,723030605010,1,B2C,0.23659999999999998,0.23659999999999998,,184,,B
2023.03.07,B2C(택배),W00160,艾多美 益生菌 60包入,24,1,110,65,110,723030605019,1,B2C,0.7865,0.7865,,185,,A
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,4,310,110,212,723030605026,4,B2C,7.2292,28.9168,**,187,1.0,A
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,6,310,110,212,723030605026,6,B2C,7.2292,43.3752,**,188,2.0,A
2023.03.07,B2C(택배),W90941,艾多美 好纖果乾-芒果綜合,24,1,290,120,150,723030605026,1,B2C,5.22,5.22,**,189,2.0,A
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,1,310,110,212,723030605027,1,B2C,7.2292,7.2292,,191,,A
2023.03.07,B2C(택배),W90943,艾多美 美妍膠原飲,12,5,13,7,10,723030605027,5,B2C,0.00091,0.00455,,192,,A
2023.03.07,B2C(택배),W00266,艾多美 珠光隔離乳,70,1,38,38,130,723030605032,1,B2C,0.18772,0.18772,,193,,B
2023.03.07,B2C(택배),W00545,艾多美 護手霜四件組 1組(4條),30,1,135,120,38,723030605032,1,B2C,0.6155999999999999,0.6155999999999999,,195,,A
2023.03.07,B2C(택배),W01422,艾多美 長效睫毛膏,200,1,20,20,134,723030605032,1,B2C,0.053599999999999995,0.053599999999999995,,196,,A
2023.03.07,B2C(택배),W00681,艾多美 護髮油,63,1,50,45,215,723030605032,1,B2C,0.48374999999999996,0.48374999999999996,,197,,B
2023.03.07,B2C(택배),W00591,艾多美 精油 貼布 1盒(11包*5片),20,2,225,165,60,723030605032,2,B2C,2.2275,4.455,,200,,B
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,1,310,110,212,723030605048,1,B2C,7.2292,7.2292,,201,,A
2023.03.07,B2C(택배),W00473,艾多美 柔護寶貝保濕乳霜,48,1,49,43,154,723030605048,1,B2C,0.324478,0.324478,,202,,B
2023.03.07,B2C(택배),W00511,艾多美 牙刷(小型刷頭) 1組 (8支),30,1,245,105,48,723030605050,1,B2C,1.2348,1.2348,,205,,A
2023.03.07,B2C(택배),W00531,艾多美 愛丹 1瓶,54,2,143,96,132,723030605050,2,B2C,1.812096,3.624192,,206,,A
2023.03.07,B2C(택배),W00641,艾多美 身體乳液 1瓶,40,2,143,96,132,723030605050,2,B2C,1.812096,3.624192,,209,,B
2023.03.07,B2C(택배),W00521,艾多美 蜂膠牙膏50g 1組(4條),60,1,100,30,170,723030605052,1,B2C,0.51,0.51,,210,,B
2023.03.07,B2C(택배),W00973,艾多美 阿拉比卡三合一即溶咖啡50入,12,5,170,75,172,723030605052,5,B2C,2.193,10.965,,211,,A
2023.03.07,B2C(택배),W00835,艾多美 304不鏽鋼絲球,100,2,215,119,30,723030605052,2,B2C,0.76755,1.5351,,212,,B
2023.03.07,B2C(택배),W00501,艾多美 牙膏200g(5條)*1組,10,1,143,96,132,723030605057,1,B2C,1.812096,1.812096,,214,,B
2023.03.07,B2C(택배),W00227,艾多美 凝萃煥膚 安瓶,42,1,50,50,120,723030605057,1,B2C,0.3,0.3,,215,,B
2023.03.07,B2C(택배),W00301,艾多美 洗面乳 1瓶,40,1,143,96,132,723030605059,1,B2C,1.812096,1.812096,,217,,B
2023.03.07,B2C(택배),W00321,艾多美 卸妝乳 1瓶,40,2,143,96,132,723030605059,2,B2C,1.812096,3.624192,,219,,B
2023.03.07,B2C(택배),W00276,艾多美 凝萃煥膚防曬乳,70,2,48,23,138,723030605060,2,B2C,0.152352,0.304704,,222,,A
2023.03.07,B2C(택배),W00301,艾多美 洗面乳 1瓶,40,1,143,96,132,723030605060,1,B2C,1.812096,1.812096,,223,,A
2023.03.07,B2C(택배),W00778,艾多美 積雪草舒緩乳霜,88,3,40,35,140,723030605060,3,B2C,0.19599999999999998,0.588,,224,,B
2023.03.07,B2C(택배),W00276,艾多美 凝萃煥膚防曬乳,70,1,48,23,138,723030605063,1,B2C,0.152352,0.152352,,225,,A
2023.03.07,B2C(택배),W90927,艾多美 營養三鬆,50,3,19,29,6,723030605063,3,B2C,0.003306,0.009918,,226,,B
2023.03.07,B2C(택배),W00111,艾多美 高濃度魚油膠囊,56,1,67,67,121,723030605063,1,B2C,0.543169,0.543169,,227,,B
2023.03.07,B2C(택배),W00801,艾多美 碗盤蔬果洗潔液,12,1,90,80,240,723030605063,1,B2C,1.728,1.728,,228,,B
2023.03.07,B2C(택배),W00834,艾多美 乳膠手套(L),60,2,500,171,50,723030605063,2,B2C,4.2749999999999995,8.549999999999999,,229,,B
2023.03.07,B2C(택배),W90189,艾多美 玻尿酸深層卸妝濕巾,36,9,143,96,132,723030605063,9,B2C,1.812096,16.308864,,230,,B
2023.03.07,B2C(택배),W00531,艾多美 愛丹 1瓶,54,1,143,96,132,723030605071,1,B2C,1.812096,1.812096,,231,,B
2023.03.07,B2C(택배),W00801,艾多美 碗盤蔬果洗潔液,12,1,90,80,240,723030605071,1,B2C,1.728,1.728,,232,,A
2023.03.07,B2C(택배),W00541,艾多美 洗手乳,30,2,70,70,140,723030605071,2,B2C,0.6859999999999999,1.3719999999999999,,233,,A
2023.03.07,B2C(택배),W90671,艾多美 泡泡染髮乳-栗子紅,48,1,115,50,145,723030605071,1,B2C,0.83375,0.83375,,234,,A
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,1,310,110,212,723030605086,1,B2C,7.2292,7.2292,,237,,B
2023.03.07,B2C(택배),W00542,艾多美 香氛護指護手乳,28,1,65,65,170,723030605086,1,B2C,0.7182499999999999,0.7182499999999999,,239,,A
2023.03.07,B2C(택배),W01525,艾多美 雪白凝萃化妝水,42,1,6,6,19,723030605089,1,B2C,0.0006839999999999999,0.0006839999999999999,,240,,B
2023.03.07,B2C(택배),W00276,艾多美 凝萃煥膚防曬乳,70,1,48,23,138,723030605089,1,B2C,0.152352,0.152352,,241,,B
2023.03.07,B2C(택배),W90548,艾多美 抗菌潔手凝膠,24,1,125,118,27,723030605089,1,B2C,0.39825,0.39825,,242,,A
2023.03.07,B2C(택배),W00466,艾多美 Daily專家面膜-亮白,30,1,125,40,163,723030605089,1,B2C,0.815,0.815,,243,,B
2023.03.07,B2C(택배),W00465,艾多美 Daily專家面膜-保濕,30,1,125,40,163,723030605089,1,B2C,0.815,0.815,,245,,B
2023.03.07,B2C(택배),W00601,艾多美 洗髮乳 1瓶,8,2,143,96,132,723030605090,2,B2C,1.812096,3.624192,,246,,B
2023.03.07,B2C(택배),W00861,艾多美 濃縮衣物洗潔液,6,1,192,132,312,723030605090,1,B2C,7.907328,7.907328,,247,,A
2023.03.07,B2C(택배),W00281,艾多美 防曬霜(裸膚) 1瓶,70,1,143,96,132,723030605091,1,B2C,1.812096,1.812096,,250,,B
2023.03.07,B2C(택배),W00121,艾多美 維他命C粉,20,1,111,90,136,723030605099,1,B2C,1.3586399999999998,1.3586399999999998,,256,,B
2023.03.07,B2C(택배),W90941,艾多美 好纖果乾-芒果綜合,24,1,290,120,150,723030605099,1,B2C,5.22,5.22,,257,,B
2023.03.07,B2C(택배),W90946,艾多美 苦瓜萃取複方膠囊,94,1,70,53,115,723030605099,1,B2C,0.42665,0.42665,,259,,A
2023.03.07,B2C(택배),W00521,艾多美 蜂膠牙膏50g 1組(4條),60,2,100,30,170,723030605103,2,B2C,0.51,1.02,,261,,A
2023.03.07,B2C(택배),W00511,艾多美 牙刷(小型刷頭) 1組 (8支),30,2,245,105,48,723030605103,2,B2C,1.2348,2.4696,,262,,B
2023.03.07,B2C(택배),W00289,艾多美 凝萃煥膚BB霜 No. 21,70,1,38,38,131,723030605103,1,B2C,0.189164,0.189164,,263,,B
2023.03.07,B2C(택배),W00121,艾多美 維他命C粉,20,1,111,90,136,723030605106,1,B2C,1.3586399999999998,1.3586399999999998,,264,,B
2023.03.07,B2C(택배),W00227,艾多美 凝萃煥膚 安瓶,42,1,50,50,120,723030605106,1,B2C,0.3,0.3,,266,,B
2023.03.07,B2C(택배),W00973,艾多美 阿拉比卡三合一即溶咖啡50入,12,1,170,75,172,723030605109,1,B2C,2.193,2.193,**,269,1.0,B
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,15,310,110,212,723030605109,15,B2C,7.2292,108.43799999999999,**,270,2.0,B
2023.03.07,B2C(택배),W00531,艾多美 愛丹 1瓶,54,1,143,96,132,723030605121,1,B2C,1.812096,1.812096,,271,,B
